0,1,2
0.24,0.36,0.0
2.08,2.3200000000000003,0.0
0.12,0.12,0.24
1.84,1.96,2.2
0.0,0.48,0.36
0.0,0.88,1.6400000000000001
0.24,1.1600000000000001,0.88
2.08,0.24,0.48
0.24,0.12,0.0
2.2,1.84,0.12
1.0,0.0,2.08
0.72,0.12,0.24537313432835822
1.28,0.36,0.24
0.48,2.08,0.0
0.24,0.48,0.0
2.2,0.0,0.24
0.72,0.0,2.2
0.0,0.12,0.72
0.12,2.2,0.0
0.12,0.72,0.12
1.96,0.0,1.96
0.12,0.12,0.48
1.84,1.96,0.6673684210526316
0.0,0.6,0.36
0.12,0.48,2.2
1.84,2.3200000000000003,0.72
0.12,0.24,0.12
1.84,2.08,2.08
0.0,0.24,0.6
0.12,2.2,1.04
2.08,1.04,0.24
0.48,0.0,1.8000000000000003
0.12,0.0,1.4
1.4400000000000002,0.0,0.6
0.0,0.24,1.6400000000000001
0.0,0.48,0.84
0.12,2.4400000000000004,0.88
1.84,0.76,0.48
0.0,0.48,0.48
0.0,0.49074626865671644,0.6
0.0,0.6,0.64
0.24,0.48,0.0
2.2,0.48,0.0
0.24,0.12,0.36
0.0,1.84,2.3200000000000003
0.12,0.24,0.22909090909090907
2.2,0.24,1.04
0.72,1.96,0.0
0.0,0.24,0.36
0.12,0.0,2.3200000000000003
2.08,0.0,1.56
0.88,0.24,0.36
0.0,2.08,1.24
0.12,0.12,2.04
1.84,1.96,0.72
0.24,0.64,0.6
1.96,0.0,1.6400000000000001
0.24,0.24,0.84
1.52,1.8987234042553194,0.48
1.0,0.6987234042553192,0.36
0.64,0.36,0.24
0.0,0.36,0.24
0.0,0.48,2.08
0.24,0.24,0.12
2.08,2.44,0.12
0.0,0.72,2.08
0.12,0.24,0.36
1.84,2.08,1.04
0.12,0.36,0.12
0.12,2.4400000000000004,1.4400000000000002
0.48,1.1600000000000001,0.0
0.6,0.24,0.0
2.9200000000000004,0.0,0.0
0.96,0.12,0.0
0.88,2.08,0.12
0.0,0.48,1.84
0.36,0.24,0.24
2.3200000000000003,2.08,1.8987234042553194
0.12,0.12,0.36
0.12,1.96,0.24
1.84,0.48,0.0
0.36,1.1600000000000001,0.12
2.04,0.24,1.84
0.64,0.24,0.24
0.0,2.2,2.08
0.12,0.72,0.36
1.84,0.0,1.4400000000000002
0.12,0.24,0.24
1.96,0.24,1.28
0.64,2.44,0.0
0.0,0.6,0.24
0.24,0.24,1.96
2.08,0.12,0.24
0.12,2.08,0.12
1.84,0.36,1.96
0.12,1.04,0.24
1.96,0.24,0.12
0.24,1.4,1.84
0.0,0.76,0.36
0.0,0.88,1.12
0.0,0.36,0.48
0.12,0.24,2.3200000000000003
1.84,0.0,0.96
0.12,0.36,0.0
1.1600000000000001,2.3200000000000003,0.24
0.24,1.0,2.08
0.12,0.72,0.48
1.96,0.12,0.0
0.64,1.8673684210526318,0.24
0.0,0.24,2.2
0.12,0.0,0.76
1.84,0.24,0.24
0.24,1.96,0.12
1.6800000000000002,0.24,0.36
0.12,0.0,2.44
1.96,0.12,0.48
0.64,2.08,0.36
0.0,1.4,0.24
0.12,0.72,0.0
0.36,0.0,0.24
2.3200000000000003,0.0,2.08
0.0,0.6,0.0
0.0,2.3200000000000003,0.0
0.12,1.0,0.24
1.84,0.72,1.96
0.0,0.12,0.36
0.36,1.96,1.04
2.44,0.24,0.0
1.08,0.0,0.0
1.56,0.24,0.0
0.12,2.08,0.12
1.28,0.0,1.96
1.28,0.12,0.24
0.48,1.84,0.12
0.24,0.12,1.4400000000000002
2.08,1.4400000000000002,0.0
0.36,0.12,0.12
2.3200000000000003,1.84,1.84
0.36,0.24,0.24
2.08,2.08,1.56
0.48,0.36,0.12
0.48,2.3200000000000003,1.84
0.48,0.24,0.0
2.4400000000000004,2.08,0.0
1.6800000000000002,0.24,0.0
0.48,2.08,0.0
0.36,0.24,0.12
2.4400000000000004,1.96,1.84
0.24,0.64,0.24
0.12,0.0,2.08
0.48,0.0,0.36
0.6,0.12,0.24
2.8,1.84,0.0
0.88,0.0,0.36
0.76,0.0,2.44
0.24,0.0,0.84
0.0,0.0,1.08
0.0,0.12,0.88
0.0,2.2,0.48
0.12,0.72,0.0
0.48,0.0,0.12
2.3200000000000003,0.12,0.24
0.84,1.96,1.96
0.88,0.24,1.04
0.6,0.0,0.0
0.36,0.12,0.0
0.12,2.08,0.24
2.2,0.24,2.08
0.6,1.8000000000000003,0.0
0.12,0.36,0.24
0.24,1.04,2.08
2.2,0.0,0.0
1.56,0.12,0.12
0.24,2.08,1.84
0.12,0.48,0.0
1.84,0.6,0.0
0.36,0.24,0.12
1.2400000000000002,0.0,1.84
0.48,0.24,0.0
2.4400000000000004,2.08,0.0
0.12,0.24,0.12
0.24,1.6800000000000002,0.24
2.08,0.0,2.3200000000000003
0.0,0.12,0.72
0.0,1.84,1.12
0.24,0.0,0.72
2.3200000000000003,0.0,0.88
1.08,0.0,0.0
0.72,0.0,0.12
0.0,0.12,0.24
0.0,1.84,2.2
0.6,0.0,0.64
2.56,0.0,0.12
0.48,0.24,1.96
2.44,2.08,0.24
0.96,0.12,0.0
0.48,1.96,0.0
0.12,0.64,0.36
1.829090909090909,0.0,2.3200000000000003
0.88,0.12,0.0
1.1600000000000001,1.84,0.48
0.12,0.0,2.44
1.04,0.0,1.3199999999999998
0.24,0.0,0.72
2.08,0.36,0.0
0.0,2.2,0.12
0.12,1.0,1.84
1.84,0.88,0.0
0.24,0.48,0.0
2.2,0.12,0.0
0.2673684210526316,1.84,0.0
1.0987234042553191,0.0,0.36
0.24,0.0,2.3200000000000003
0.12,0.12,0.12
1.04,1.84,2.08
0.0,0.0,0.48
0.24,0.12,0.6
2.0581818181818186,1.84,1.6400000000000001
0.48,0.24,1.24
0.0,2.44,0.72
0.0,1.28,0.96
0.24,0.48,0.0
2.44,0.0,0.0
0.72,0.24,0.0
0.0,2.2,0.24
0.0,0.48,0.6
0.12,0.88,2.44
1.96,0.0,0.48
0.64,0.0,2.56
0.24,0.36,0.24
0.88,2.3200000000000003,1.96
0.0,0.24,1.4
0.12,1.829090909090909,0.72
1.84,0.24,0.96
0.0,0.12,0.48
0.12,1.4400000000000002,2.44
1.96,0.0,0.84
0.48,0.24,1.52
1.6400000000000001,2.2,0.6
1.4,0.64,0.6
0.48,0.0,2.04
0.84,0.0,0.84
1.08,0.0,2.04
0.64,0.48,0.84
0.0,2.56,0.84
0.0,0.0,1.2
0.0,0.0,0.96
0.36,0.36,0.0
2.3200000000000003,2.3200000000000003,0.0
0.0,0.36,0.36
0.0,2.08,2.44
0.36,0.22909090909090907,0.84
2.2,0.24,0.72
0.72,0.0,0.96
0.0,0.36,0.36
0.0,2.3200000000000003,2.44
0.36,0.6,0.72
2.3200000000000003,0.72,0.6
0.0,0.0,0.84
0.12,0.12,1.6400000000000001
2.08,1.84,0.84
0.48,0.24,0.96
0.24,2.2,1.4
2.08,0.72,0.36
0.84,0.0,0.88
1.24,0.0,0.36
1.12,0.36,0.6
0.48,2.3200000000000003,2.44
0.6,0.12,0.6
0.6,2.2,1.52
2.68,0.72,0.6
0.6,0.0,1.4
2.68,0.24,0.24
0.72,2.08,0.0
0.24,0.24,0.36
0.36,2.08,0.6
2.3200000000000003,0.48,2.44
0.12,0.0,0.84
2.08,0.24,0.84
0.6,2.08,1.24
0.24,0.12,0.84
0.24,1.6800000000000002,1.24
2.2,0.88,1.12
0.12,0.0,0.96
1.84,0.24,0.36
0.0,2.3200000000000003,2.2
0.0,0.96,0.24
0.36,0.36,0.0
2.3200000000000003,2.3200000000000003,0.0
0.0,0.96,0.0
0.36,0.12,0.24
2.2,1.96,0.24
0.72,0.24,0.24
0.36,0.0,2.08
2.44,0.0,0.22909090909090907
1.08,0.0,0.24
0.12,0.6,0.24
1.96,2.3200000000000003,2.08
0.24,0.96,0.0
0.36,0.0,0.36
1.12,0.0,2.3200000000000003
0.24,0.0,1.24
2.08,0.12,0.6
0.0,1.84,1.88
0.24,0.24,0.48
2.08,2.08,0.6
0.36,0.24,2.44
2.4400000000000004,1.829090909090909,0.84
1.28,0.64,1.6400000000000001
0.48,0.0,1.08
0.12,0.36,1.9200000000000002
1.84,2.08,0.96
0.0,0.84,0.0
0.0,0.6,0.48
0.0,0.64,2.56
0.48,0.0,0.12
0.6,0.36,0.24
2.56,2.08,2.1974468085106382
0.48,0.6,0.36
2.04,0.24,0.24
1.04,0.24,0.24
0.0,2.08,1.6800000000000002
0.48,0.24,0.0
2.4400000000000004,2.08,0.24
0.36,0.0,0.48
0.12,0.0,2.56
2.3200000000000003,0.0,0.0
0.6,0.24,0.0
2.3200000000000003,2.3200000000000003,0.24
0.6,1.12,1.8673684210526318
2.4000000000000004,0.48,0.12
1.8000000000000003,0.36,1.84
0.72,1.9200000000000002,0.0
0.12,0.0,0.36
1.84,0.0,2.4400000000000004
0.0,0.36,1.28
0.12,2.3200000000000003,0.48
0.6,0.0,0.0
2.9200000000000004,0.0,0.0
1.3599999999999999,0.12,0.0
0.6,2.08,0.0
2.2800000000000002,0.24,0.12
0.72,2.08,1.96
0.12,0.12,1.04
2.08,2.08,0.0
1.1600000000000001,0.6,0.0
0.24,1.12,0.24
0.0,0.0,2.44
0.0,0.0,0.84
0.12,0.12,0.24
2.08,2.2,0.0
0.48,0.72,0.0
0.6673684210526316,0.6,0.0
0.36,2.44,0.0
1.04,0.96,0.24
0.0,0.48,0.6
0.24,0.0,2.44
2.08,0.36,0.6
0.48,2.2,1.6400000000000001
0.12,0.72,0.36
1.84,0.24,2.08
0.0,2.44,0.24
0.0,0.6,0.6
0.12,1.04,2.44
1.96,0.0,0.96
0.36,0.0,0.84
0.64,0.12,1.28
0.24,2.2,0.24
1.8000000000000003,0.72,1.6800000000000002
0.36,0.24,0.12
2.3200000000000003,0.36,1.84
0.0,2.5600000000000005,0.0
0.0,0.48,0.36
0.0,0.0,2.4400000000000004
0.0,0.12,0.2987234042553192
0.12,1.96,0.24
2.08,0.64,0.0
0.88,0.12,0.12
0.0,2.08,1.84
0.0,0.6,0.12
0.0,0.24,1.8000000000000003
0.36,0.24,0.48
2.2,0.24,1.3974468085106384
0.64,0.36,1.8000000000000003
0.0,2.5600000000000005,0.6
0.0,1.12,0.6987234042553192
0.36,1.4,1.28
2.3200000000000003,0.6,0.48
0.0,1.12,0.0
0.0,0.84,0.36
0.0,0.96,0.6
0.0,1.0290909090909093,2.68
0.12,0.24,1.04
2.3200000000000003,0.0,0.0
0.84,0.12,0.0
0.12,2.2,0.12
1.84,0.72,1.84
0.12,0.48,0.0
1.84,2.44,0.12
0.12,1.12,2.08
1.96,0.45818181818181813,0.48
0.36,0.36,0.12
0.24,2.2,1.96
0.0,0.36,0.48
0.0,1.6800000000000002,0.88
0.6,0.24,0.24
2.5600000000000005,0.88,1.6800000000000002
1.12,0.0,0.12
0.48,0.12,1.84
0.0,2.3200000000000003,0.0
0.0,0.96,0.0
0.24,0.24,0.24
0.24,1.96,2.2
2.08,0.24,1.04
0.0,0.12,0.48
0.0,0.64,1.76
0.12,0.6,0.0
1.96,2.5600000000000005,0.0
0.36,0.88,0.0
2.08,1.1600000000000001,0.0
0.48,0.24,0.36
0.48,0.0,2.3200000000000003
0.0,0.0,0.96
0.0,0.0,0.96
0.24,0.6,0.0
2.08,2.3200000000000003,0.12
0.48,1.8000000000000003,1.84
0.0,0.5347368421052632,0.12
0.12,0.24,1.96
1.96,2.08,0.24
0.24,0.24,0.12
0.36,1.56,1.4400000000000002
1.9200000000000002,1.04,0.0
0.12,0.0,0.24
1.84,0.12,2.2
0.0,1.96,0.6
0.0,0.88,0.72
0.48,0.36,0.0
2.44,2.08,0.0
1.08,0.36,0.0
0.72,0.24,0.12
0.0,0.0,1.96
0.24,0.36,1.4400000000000002
2.08,2.3200000000000003,0.0
0.48,0.12,0.12
0.0,2.08,1.84
0.24,0.72,0.0
2.08,1.0,0.12
0.48,0.72,1.84
0.12,0.12,0.24
0.36,2.08,2.08
2.3200000000000003,1.28,0.12
0.0,0.12,2.2
0.12,1.84,0.48
2.08,0.0,0.48
1.28,0.12,0.0
0.48,1.84,0.0
0.0,0.12,0.12
0.0,1.84,1.96
0.48,0.0,1.04
0.6,0.24,0.12
2.8000000000000003,2.08,1.84
1.36,0.0,0.0
0.72,0.24,0.0
0.48,2.08,0.36
2.2,0.6,2.2
0.84,1.4400000000000002,0.12
0.36,0.0,0.48
2.08,0.0,2.56
0.2673684210526316,0.12,0.0
0.24,2.08,0.12
0.24,0.24,0.48
1.96,1.56,2.56
0.36,0.22909090909090907,0.0
0.24,1.28,0.12
0.12,0.36,1.96
1.4400000000000002,1.1600000000000001,0.64
0.36,0.24,0.12
2.08,0.0,0.6
1.56,0.0,2.68
0.12,0.6,0.12
1.04,2.3200000000000003,1.84
0.0,2.04,0.0
0.0,0.84,0.24
0.0,1.3199999999999998,2.08
0.0,1.12,0.6
0.0,0.6,0.84
0.12,0.72,0.64
1.84,0.0,0.0
0.12,0.48,0.0
2.08,2.4400000000000004,0.0
0.48,0.24,0.24
0.0,0.0,2.44
0.36,0.12,0.72
2.3200000000000003,2.08,0.6
0.36,0.36,0.48
2.5600000000000005,0.64,0.48
0.88,0.12,0.12
1.1600000000000001,1.84,2.08
0.24,0.0,0.48
1.28,0.12,0.0
0.36,2.08,0.12
1.04,0.48,1.84
0.0,0.8907462686567165,0.0
0.0,0.36,0.12
0.0,2.3200000000000003,1.84
0.6,0.0,0.12
2.56,0.0,1.84
0.84,0.12,0.0
0.24,2.3200000000000003,0.0
0.12,1.8000000000000003,0.24
1.96,0.6,1.96
0.36,1.04,0.36
1.8000000000000003,0.0,0.76
0.72,0.12,0.24
0.12,2.2,0.0
1.829090909090909,0.72,0.0
1.28,0.24,0.0
1.0,0.36,0.12
0.48,2.4400000000000004,1.84
0.6,1.04,0.0
0.64,0.0,0.48
0.0,0.0,2.5600000000000005
0.24,0.24,0.48
2.2,2.08,2.04
1.8000000000000003,0.0,1.4400000000000002
0.72,0.0,0.0
0.12,0.12,0.0
1.84,1.96,0.12
0.24,0.36,1.84
2.2,0.76,0.0
0.64,0.24,0.24
0.0,0.12,0.6
0.24,1.84,2.44
2.3200000000000003,0.0,0.84
0.48,0.12,1.24
0.36,2.08,0.6
2.08,0.48,2.12
0.45818181818181813,0.0,0.6
0.88,0.0,2.3200000000000003
0.0,0.0,0.96
0.36,0.24,0.0
2.3200000000000003,0.48,0.0
0.0,2.3200000000000003,0.12
0.0,0.6,2.2
0.0,2.68,0.6
0.36,0.64,1.04
2.44,0.12,0.0
1.6800000000000002,2.08,0.24
0.48,0.48,0.36
0.0,0.12,0.6
0.0,1.84,2.44
0.36,0.0,0.84
2.44,0.0,1.6400000000000001
1.28,0.36,0.84
0.24537313432835822,2.3200000000000003,1.08
0.12,0.24,1.6400000000000001
1.8000000000000003,0.36,0.84
0.72,2.3200000000000003,1.12
0.0,0.0,0.96
0.0,0.12,0.48
0.0,1.84,2.56
0.48,0.12,0.0
0.6,1.84,0.0
2.44,0.0,0.24
0.6,0.12,2.2
1.96,1.84,0.36
1.08,0.0,2.2
0.88,0.24,0.12
0.48,2.08,1.84
0.36,0.12,0.24
2.08,1.84,0.6
0.48,0.0,0.6
0.0,0.12,2.44
0.0,1.96,0.84
0.12,1.04,1.24
2.08,0.0,1.08
0.48,0.0,1.44
0.0,0.0,0.84
0.12,0.24,0.48
1.84,0.24,1.28
0.0,0.6,0.0
0.0,2.44,0.36
0.0,1.3199999999999998,0.36
0.12,0.72,0.36
2.08,0.0,2.2
1.0,0.0,0.48
0.24,0.12,0.88
0.0,2.08,0.0
0.0,0.88,0.12
0.0,0.24,2.08
0.36,1.96,0.6673684210526316
2.56,0.24,0.24
0.84,0.0,0.12
1.04,0.12,1.6800000000000002
0.24,1.84,1.4
1.28,0.0,0.48
0.0,0.24,0.88
0.36,1.96,0.12
2.44,0.24,2.08
0.6,0.0,0.6
2.0,0.0,1.52
1.4290909090909092,0.0,0.96
0.24537313432835822,0.24,0.0
0.24,2.3200000000000003,0.0
0.0,0.96,0.0
0.24,0.0,0.6
2.08,0.0,2.68
0.0,0.24,1.24
0.0,2.3200000000000003,0.84
0.0,0.48,1.24
0.12,0.0,1.08
1.84,0.12,1.08
0.24,1.96,0.72
2.08,0.36,0.6
0.0,0.48,1.28
0.24,0.24,0.6
2.08,2.08,0.6
0.12,0.0,0.64
2.08,0.12,0.0
0.48,1.96,0.0
0.0,0.76,0.24
0.12,0.64,2.08
2.3200000000000003,0.0,0.0
1.2400000000000002,0.24,0.0
0.24,0.6,0.0
0.12,2.44,0.12
2.08,0.84,1.84
0.48,0.72,0.0
0.88,1.52,0.12
0.12,0.6,2.08
1.4400000000000002,0.72,0.6
0.24,0.0,0.36
2.2,0.0,0.24
1.04,0.0,2.2
0.0,0.36,0.76
0.12,2.2,0.64
1.84,0.72,0.0
0.24,0.12,0.12
2.2,1.84,1.84
0.76,0.0,0.0
0.24,0.12,0.12
0.12,1.84,2.08
0.24,0.0,0.48
2.08,0.24,0.12
0.36,0.48,0.24
0.48,0.84,0.6
1.6800000000000002,2.68,2.08
0.0,0.24,0.88
0.24,0.36,0.0
2.08,2.2,0.0
0.48,0.6,0.0
0.24,1.4400000000000002,0.12
1.96,0.0,1.96
0.24,0.12,0.48
1.96,2.08,0.48
0.24,1.0,0.12
0.0,0.72,2.08
0.12,0.0,1.4
1.96,0.0,0.72
0.24,0.24,0.24
0.0,0.36,2.2
0.0,2.56,0.24
0.12,0.9347368421052632,0.0
2.08,0.48,0.0
0.48,0.0,0.24
0.0,0.0,2.3200000000000003
0.0,0.24,0.48
0.12,0.6,0.0
1.84,2.44,0.0
0.0,1.3199999999999998,0.0
0.0,0.84,0.12
0.24,0.72,0.12
2.08,0.0,1.96
0.0,0.36,0.36
0.0,2.3200000000000003,0.64
0.12,0.0,0.36
1.96,0.0,2.08
0.48,0.12,0.36
0.88,1.96,0.12
0.12,0.64,1.96
2.08,0.24,0.24
0.48,2.08,0.12
0.88,0.0,1.56
0.0,0.24,0.48
0.12,2.08,1.1600000000000001
1.96,0.12,0.64
0.12,2.44,0.0
1.96,0.84,0.0
0.24,1.8000000000000003,0.12
0.12,0.72,1.84
1.96,0.0,0.36
0.24,0.12,1.52
0.0,1.96,0.12
0.0,1.04,1.96
0.24,0.24,0.24
2.3200000000000003,2.08,0.0
0.84,0.12,0.0
0.24,1.4,0.0
0.0,1.6800000000000002,0.12
0.12,0.24,1.96
1.84,2.2,0.24
0.12,0.72,0.0
2.08,0.36,0.0
0.6,2.3200000000000003,0.0
1.04,0.72,0.0
0.0,0.84,0.12
0.0,0.24,2.08
0.12,0.0,0.6
1.96,0.12,0.12
0.24,1.84,1.96
0.36,0.12,0.36
2.3200000000000003,1.84,1.52
0.12,0.24,0.0
1.84,2.2,0.0
0.0,0.48,0.36
0.12,0.88,2.3200000000000003
1.96,0.0,0.24
0.12,0.0,2.2
0.76,0.12,0.64
0.12,1.96,0.12
0.24,0.76,1.96
2.2,0.24,0.36
0.24,0.36,1.1600000000000001
0.0,2.3200000000000003,0.64
0.36,0.36,0.24
2.08,0.24,2.08
1.28,0.0,0.12
0.24,0.12,1.1600000000000001
1.6800000000000002,1.84,1.04
0.24,0.0,0.12
1.6800000000000002,0.12,2.08
0.12,2.08,0.76
1.96,0.36,0.24
0.12,1.6400000000000001,0.0
1.96,0.24,0.0
0.64,0.24,0.0
0.24,2.08,0.12
1.28,0.0,1.96
0.24,0.24,0.24
1.96,2.08,0.0
0.64,0.12,0.0
0.12,1.84,0.36
0.12,0.0,2.2
2.2,0.0,0.48
0.84,0.0,1.28
0.36,0.24,0.0
2.3200000000000003,0.36,0.0
0.0,2.3200000000000003,0.0
0.0,0.12,0.48
0.0,1.84,2.56
0.12,0.24,0.12
1.96,1.8000000000000003,1.84
0.48,0.72,0.0
0.6,0.0,0.0
1.12,0.0,0.12
0.0,0.0,2.3200000000000003
0.12,0.12,0.6
1.84,1.84,0.72
0.0,0.12,0.12
0.12,1.96,1.84
0.36,0.64,0.12
2.5600000000000005,0.0,1.84
0.6,0.0,0.12
0.24,0.12,1.4400000000000002
2.2,1.84,0.0
0.36,0.0,0.24
1.1600000000000001,0.0,2.08
0.64,0.24,0.0
0.0,2.2,0.12
0.12,1.4400000000000002,1.84
2.08,0.0,0.0
0.45818181818181813,0.0,0.12
0.48,0.0,1.84
0.24,0.24,0.0
2.08,2.2,0.0
0.0,0.36,0.36
0.0,1.4400000000000002,2.4400000000000004
0.24,0.12,0.64
2.2,1.04,0.0
0.24,0.24,0.12
0.12,0.36,0.24
1.84,2.3200000000000003,2.08
0.12,0.24,0.0
1.96,2.08,0.12
0.12,0.48,2.08
1.04,0.0,0.36
0.12,0.12,0.24
1.6800000000000002,1.84,0.24
0.48,0.0,2.2
0.0,0.12,0.24
0.12,1.84,0.24
1.84,0.0,2.08
0.0,0.36,0.12
0.0,2.3200000000000003,1.84
0.36,0.0,0.12
2.3200000000000003,0.0,0.64
0.24,0.24,0.0
1.96,0.6,0.0
0.12,2.68,0.0
0.12,0.76,0.24
0.24,0.24,2.2
2.3200000000000003,0.0,1.04
0.96,0.0,0.0
0.88,0.24,0.0
0.0,2.2,0.12
0.0,0.72,1.96
0.36,0.12,0.24
2.3200000000000003,1.84,0.0
0.84,0.0,0.12
1.4400000000000002,0.12,1.84
0.24,1.84,0.0
1.6800000000000002,0.0,0.36
0.0,0.12,2.3200000000000003
0.12,1.96,0.72
0.12,0.24,0.6
1.84,0.0,0.48
0.0,0.0,0.84
0.12,0.12,1.8000000000000003
1.96,1.96,0.48
1.1600000000000001,0.24,0.36
0.64,0.12,0.48
0.0,1.96,2.44
0.0,0.24,0.84
0.0,0.24,0.64
0.24,1.96,0.0
2.3200000000000003,0.24,0.0
1.28,0.0,0.0
0.48,0.0,0.24
0.0,0.36,2.08
0.12,2.3200000000000003,0.48
1.96,0.0,0.0
1.04,0.12,0.36
0.0,2.2,2.2
0.0,0.72,1.04
0.12,0.12,0.0
1.96,1.84,0.0
0.36,0.24,0.36
1.52,1.96,2.3200000000000003
0.0,0.48,0.0
0.0,1.9200000000000002,0.0
0.24,0.6,0.0
2.08,1.48,0.12
0.12,1.28,0.36
1.84,0.36,2.5600000000000005
0.0,0.64,0.48
0.12,0.12,0.36
1.84,1.56,2.3200000000000003
0.0,0.36,0.0
0.0,0.24,0.12
0.24,0.0,1.96
2.3200000000000003,0.0,0.24
0.88,0.12,0.0
0.0,1.96,0.36
0.0,0.24,2.3200000000000003
0.12,0.24,0.0
1.84,1.96,0.24
0.12,0.24,2.2
1.84,0.0,0.88
0.0,0.12,0.48
0.12,1.96,0.12
1.84,0.88,1.4400000000000002
0.0,0.48,0.24
0.12,0.0,2.2
1.96,0.12,0.24
0.24,2.08,0.0
0.12,0.24,0.36
1.4400000000000002,2.08,2.3200000000000003
0.0,0.12,0.0
0.0,1.96,0.0
0.24,1.04,0.0
2.2,0.12,0.0
0.76,1.84,0.12
0.24,0.0,2.2
0.0,0.24,1.0
0.0,0.48,0.24
0.12,2.3200000000000003,0.0
1.84,0.96,0.0
0.0,0.0,0.12
0.12,0.12,1.84
1.96,1.84,0.0
0.36,0.12,0.12
0.36,2.08,1.84
0.24,1.1600000000000001,0.0
0.12,0.24,0.12
1.96,0.0,1.96
1.1600000000000001,0.12,0.64
0.24,1.84,0.0
0.0,0.12,0.24
0.12,1.84,2.2
1.84,0.0,1.04
0.24,0.12,0.0
2.08,2.08,0.12
0.12,0.76,1.84
1.4400000000000002,0.24,0.24
0.12,0.12,1.96
1.56,1.84,0.36
1.04,0.0,0.24
0.24,0.24,0.24
1.1600000000000001,1.96,2.08
0.24,0.88,0.12
0.0,0.36,1.84
0.0,0.64,0.12
0.12,0.0,1.96
1.96,0.24,0.24
0.24,2.2,0.0
0.12,0.88,0.12
1.84,0.48,1.84
0.0,0.36,0.12
0.12,1.9200000000000002,1.84
1.96,0.12,0.0
1.04,2.08,0.12
0.0,0.48,1.96
0.0,0.12,0.36
0.24,1.96,0.64
2.08,0.24,0.12
0.24,0.12,1.96
2.3200000000000003,1.84,0.12
0.6,0.0,1.6800000000000002
2.92,0.0,0.2673684210526316
1.9200000000000002,0.0,1.04
0.48,0.6,0.12
0.48,2.68,1.4400000000000002
0.48,0.84,0.0
0.48,1.56,0.36
2.44,0.24,2.08
0.84,0.12,0.48
1.2,1.84,0.48
1.4,0.12,0.12
0.48,1.96,0.24
0.76,0.24,2.2
0.48,0.12,0.48
0.6987234042553192,1.84,0.48
0.22909090909090907,0.12,0.0
0.12,1.28,0.12
0.36,1.28,1.84
2.0581818181818186,0.48,0.0
1.0,0.0,0.12
0.48,0.24,0.12
0.6,2.08,1.84
1.3599999999999999,0.0,0.0
0.96,0.0,0.0
0.24,0.0,0.36
1.829090909090909,0.0,2.4400000000000004
0.24,0.24,0.24
0.0,2.2,0.0
0.12,0.88,0.0
2.08,0.48,0.0
0.48,0.12,0.12
0.0,1.84,2.2
0.48,0.0,0.88
2.4400000000000004,0.0,1.1600000000000001
0.64,0.12,0.36
0.0,2.08,0.24
0.36,0.48,0.0
2.2,0.24,0.12
0.24,1.28,0.24
1.28,1.56,2.08
0.48,0.36,0.0
2.4400000000000004,0.36,0.0
0.24,0.2987234042553192,0.36
0.0,0.64,2.56
0.12,0.0,0.84
1.96,0.12,1.6800000000000002
0.12,1.96,0.2673684210526316
2.08,0.24,0.24
0.6,0.24,0.0
0.24,1.28,0.12
0.24,0.0,2.08
1.0987234042553191,0.0,0.88
1.4400000000000002,0.24,0.12
0.0,2.3200000000000003,0.12
0.0,1.28,1.96
0.36,0.48,0.24
2.3200000000000003,2.2,0.12
0.0,0.72,1.96
0.36,0.0,0.24
2.4400000000000004,0.0,0.0
1.4400000000000002,0.36,0.12
0.0,2.3200000000000003,1.84
0.6,0.12,0.0
2.5600000000000005,1.84,0.24
0.88,0.0,2.08
0.0,0.12,0.36
0.0,1.96,2.3200000000000003
0.12,1.04,1.4
0.36,0.0,0.6
2.2,0.0,0.72
0.96,0.0,0.0
0.84,0.0,0.12
1.04,0.36,1.84
0.0,2.08,0.12
0.24,0.88,1.84
2.2,0.48,0.0
1.6800000000000002,0.0,0.0
0.36,0.24,0.24
1.4,1.96,2.08
1.28,0.24,0.48
0.6,0.12,0.24
1.12,1.84,1.28
0.12,0.12,0.12
1.84,1.1600000000000001,1.96
0.36,0.24,0.24
2.2,0.0,1.8000000000000003
0.24,0.0,0.72
0.36,0.24,0.0
2.2,2.3200000000000003,0.0
1.0290909090909093,1.0,0.36
0.12,0.6,2.2
0.76,0.64,0.48
1.1600000000000001,0.12,0.36
0.24,0.6,0.36
0.0,2.4400000000000004,1.4400000000000002
0.24,1.1600000000000001,0.24
2.2,0.24,1.96
0.24,0.0,0.2987234042553192
0.24,0.36,0.24
2.08,2.2,0.0
0.48,0.88,0.0
0.12,0.48,0.24
1.84,0.0,2.2
0.24,0.24,0.6
2.2,0.36,2.44
1.04,2.3200000000000003,0.84
0.24,0.12,1.6400000000000001
1.0290909090909093,2.08,0.84
0.36,1.0,0.96
0.24,1.04,0.96
0.24,0.0,0.6
1.6800000000000002,0.12,2.56
0.0,1.84,0.96
0.6,0.0,0.12
2.68,0.0,1.84
1.1600000000000001,0.36,0.0
0.24,2.3200000000000003,0.24
0.0,0.24,2.08
0.0,2.2,0.12
0.24,0.48,0.12
2.08,0.48,1.84
0.0,0.36,0.36
0.36,0.48,0.6
2.08,2.3200000000000003,2.44
0.48,1.4,1.48
0.12,0.6,0.84
1.4400000000000002,0.76,0.96
0.0,0.24,0.96
0.36,0.24,0.12
2.3200000000000003,0.24,1.84
0.24,2.2,0.0
2.08,0.48,0.24
0.48,0.48,0.36
0.48,0.0,0.6
